id,compound,formula
LMFA01030052,2-pentadecenoic acid,C15H28O2
LMFA01030053,14-pentadecenoic acid,C15H28O2
LMFA01030054,2-hexadecenoic acid,C16H30O2
LMFA01030055,7-hexadecenoic acid,C16H30O2
LMFA01030056,9Z-hexadecenoic acid,C16H30O2
LMFA01030057,9E-hexadecenoic acid,C16H30O2
LMFA01030058,10Z-hexadecenoic acid,C16H30O2
LMFA01030059,2-heptadecenoic acid,C17H32O2
LMFA01030060,9Z-heptadecenoic acid,C17H32O2
LMFA01030061,2Z-octadecenoic acid,C18H34O2
LMFA01030062,2Z-octadecenoic acid,C18H34O2
LMFA01030063,3-octadecenoic acid,C18H34O2
LMFA01030064,4-octadecenoic acid,C18H34O2
LMFA01030065,5Z-octadecenoic acid,C18H34O2
LMFA01030066,6Z-octadecenoic acid,C18H34O2
LMFA01030067,6E-octadecenoic acid,C18H34O2
LMFA01030068,7Z-octadecenoic acid,C18H34O2
LMFA01030069,7E-octadecenoic acid,C18H34O2
LMFA01030070,8Z-octadecenoic acid,C18H34O2
LMFA01030071,8E-octadecenoic acid,C18H34O2
LMFA01030073,9E-octadecenoic acid,C18H34O2
LMFA01030074,10Z-octadecenoic acid,C18H34O2
LMFA01030075,10E-octadecenoic acid,C18H34O2
LMFA01030076,11Z-octadecenoic acid,C18H34O2
LMFA01030077,11E-octadecenoic acid,C18H34O2
LMFA01030078,12Z-octadecenoic acid,C18H34O2
LMFA01030079,12E-octadecenoic acid,C18H34O2
LMFA01030080,15E-octadecenoic acid,C18H34O2
LMFA01030081,16E-octadecenoic acid,C18H34O2
LMFA01030082,17Z-octadecenoic acid,C20H38O2
LMFA01030083,2-nonadecenoic acid,C19H36O2
LMFA01030084,9Z-eicosenoic acid,C20H38O2
LMFA01030085,11Z-eicosenoic acid,C20H38O2
LMFA01030086,11E-eicosenoic acid,C20H38O2
LMFA01030087,14Z-eicosenoic acid,C20H38O2
LMFA01030088,11Z-docosenoic acid,C22H42O2
LMFA01030089,13Z-docosenoic acid,C22H42O2
LMFA01030090,13E-docosenoic acid,C22H42O2
LMFA01030091,22-tricosenoic acid,C23H44O2
LMFA01030092,15Z-tetracosenoic acid,C24H46O2
LMFA01030093,15E-tetracosenoic acid,C24H46O2
LMFA01030094,9-hexacosenoic acid,C26H50O2
LMFA01030095,17Z-hexacosenoic acid,C26H50O2
LMFA01030096,19Z-octacosenoic acid,C28H54O2
LMFA01030097,21Z-triacontenoic acid,C30H58O2
LMFA01030098,23Z-dotriacontenoic acid,C32H62O2
LMFA01030099,2_4-pentadienoic acid,C5H6O2
LMFA01030100,2E_4E-hexadienoic acid,C6H8O2
LMFA01030101,2Z_4Z-decadienoic acid,C10H16O2
LMFA01030102,2Z_4E-decadienoic acid,C10H16O2
LMFA01030103,2E_4Z-decadienoic acid,C10H16O2
LMFA01030104,2E_4E-decadienoic acid,C10H16O2
LMFA01030105,2Z_6Z-decadienoic acid,C10H16O2
LMFA01030106,2E_6Z-decadienoic acid,C10H16O2
LMFA01030107,2E_6E-decadienoic acid,C10H16O2
LMFA01030108,4E_6E-decadienoic acid,C10H16O2
LMFA01030109,9_12-hexadecadienoic acid,C16H28O2
LMFA01030110,5Z_12Z-otadecadienoic acid,C18H32O2
LMFA01030111,5Z_12E-otadecadienoic acid,C18H32O2
LMFA01030112,5E_12Z-otadecadienoic acid,C18H32O2
